ticker,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
GLD,0.07052529182879375,0.12380952380952381,-0.03301435406698561,0.17589014061343633,0.23751733703190014,-0.05939940600593985,0.0066460954189411225,0.11714869997078581,0.2697947214076246,0.615760776477305
DBA,-0.02156071538487836,-0.060120053616178004,-0.09746196628627835,-0.005302060929460062,-0.02181765740028574,0.22594145202357674,0.027893151142628136,0.08666576142304305,0.3358687300498657,-0.008966676892846581
ASHR,-0.08767378021783401,0.3101631535072049,-0.3062325109930901,0.37570189401206,0.3350191780215075,-0.030241111565181833,-0.27391905165304964,-0.1338913897136289,0.1716710506724899,0.297166537782801
ELV,0.030673321204126802,0.5673001109683449,0.16207941165174966,0.18433839973953114,0.06720523633471864,0.45501911548497054,0.10618937294179287,-0.04892445466623585,-0.22158915902516918,-0.031497377439668406
BNO,0.2727272727272727,0.17608836907082526,-0.1530386740331492,0.3399742930591261,-0.3857892226990939,0.6542721518987342,0.3350661625708884,0.0029416193228766208,0.10679970436068009,-0.08645161290322578
KSA,0.10825507479649166,0.05913370444898125,0.13861063528710793,0.07876865716810522,0.012783231234777537,0.3237199574412264,-0.0712724818553161,0.12836200925944552,-0.01764416882654618,-0.07366653521771771
XBI,-0.12726215502974458,0.4283765069709353,-0.17189900443248007,0.34443043021172204,0.49233923900232845,-0.2038563872529937,-0.28095539749638454,0.09919157996780159,0.00020476182527362496,0.3363900264428794
HYD,0.033619126310480585,0.14858038669221396,0.04958793443096998,0.09236971971057195,-0.00814547687849898,0.04442675159235665,-0.15770098517744469,0.054520039383236796,0.048176233029730176,0.049676904028073565
EWZ,0.6625664623339458,0.19599432443443354,-0.0534935618401694,0.20887894632540127,-0.21754979296162436,-0.17372530747664294,0.14625351606918424,0.43358505452393703,-0.29076600524647433,0.47726849610902167
VCLT,0.10983186237900289,0.11472133804796125,-0.06124672318115276,0.23310681440095427,0.12296444423014918,-0.018332332250343475,-0.2430704051310717,0.09852452237964004,-0.014048657010265697,0.08228133324966769
IWS,0.20841855224726769,0.12247785994704619,-0.13143269332545782,0.2711094019800784,0.05146401005034695,0.3003661952099508,-0.1219027428117132,0.1287438515690491,0.1314734248403051,0.11993803041376938
UGL,0.09210526315789491,0.20933690157597384,-0.10050492906948805,0.31255017393631257,0.37223340040241437,-0.16197281771052263,-0.044881753840842475,0.13667912439935925,0.46712802768166095,1.330360889634914
INDA,0.004776434593192436,0.35470597684390026,-0.07023362656770138,0.0781151901662096,0.1343997626119946,0.20974417155366631,-0.10304739868363466,0.1650640332540425,0.09085039145200446,0.008789975687301332
EEM,0.13658363074660396,0.3552784323539022,-0.17077747854573222,0.1980621128667619,0.14922575918752368,-0.04500139998567443,-0.21128239241746471,0.08291440808214467,0.0894782543842827,0.3473744101864842
VNM,-0.10721715231486406,0.36481400950023435,-0.17257372409385552,0.08050304389618712,0.08013440788950454,0.21629141340638647,-0.4383792033576658,0.1121721053403375,-0.09355034387136929,0.6420162994265017
FVD,0.21319113853354965,0.12073927531105211,-0.03336299626871497,0.2736754004981088,-0.004305137400042125,0.26097347636219403,-0.048939079275145514,0.0382554909622117,0.09666271387430125,0.09988733792892734
ECH,0.20788683548520748,0.43273251827138637,-0.21374894619029616,-0.18224280447102015,-0.09229580080664956,-0.2285880109443661,0.24558935942516436,0.12168459158546097,-0.07686997420725239,0.6780893042575284
ITB,0.04982861237084868,0.5796744846646962,-0.3112812543185691,0.4884773140513341,0.27125888481482807,0.5159880267971682,-0.24232189660815595,0.6659570399001489,0.03318386747247071,-0.04939885279725187
URA,-0.006160739288714523,0.15765176654304103,-0.2523912023175646,-0.0337854687788004,0.41586473603741325,0.5577488252212042,-0.16228573605825802,0.44172260138755726,0.006596015660623511,0.5788361827743784
XLP,0.0696045837164887,0.124723714064511,-0.07385754036443559,0.29809659812439215,0.10324341952014904,0.1792970114596104,-0.011181063142165382,-0.0044389243692537494,0.10821495362549705,0.02618859696591347
XLU,0.1616136322375874,0.12394042042820796,0.0505134407818677,0.2913922960031434,0.009176632506928017,0.19606190593170703,0.02619842324894872,-0.06978148728118372,0.2179039791017996,0.15054875224832243
